('Total Revenue', '395,760,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         784328 function calls (759929 primitive calls) in 1.950 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    70/39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       69    0.000    0.000    0.000    0.000 enum.py:760(__delattr__)
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       66    0.000    0.000    0.861    0.013 {method 'readline' of '_io.BufferedReader' objects}
       65    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
       65    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
       63    0.000    0.000    0.000    0.000 typing.py:1023(__init__)
       63    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       63    0.000    0.000    0.000    0.000 enum.py:353(__setitem__)
       62    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       60    0.000    0.000    0.001    0.000 _htmlparser.py:127(handle_startendtag)
       58    0.001    0.000    0.149    0.003 client.py:633(_safe_read)
       57    0.000    0.000    0.000    0.000 typing.py:3790(__getattr__)
       57    0.000    0.000    0.000    0.000 typing.py:351(_deduplicate)
       57    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       56    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
       56    0.000    0.000    0.002    0.000 typing.py:753(Union)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       54    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
       54    0.000    0.000    0.000    0.000 __init__.py:305(escape)
       54    0.000    0.000    0.001    0.000 typing.py:1658(copy_with)
       54    0.000    0.000    0.000    0.000 utils.py:47(_has_surrogates)
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       53    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
       53    0.000    0.000    0.000    0.000 element.py:2272(__eq__)
       52    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
       52    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1930(__init__)
    52/14    0.000    0.000    0.008    0.001 css_parser.py:911(parse_selectors)
       50    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
