('Total Revenue', '395,760,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         783964 function calls (759609 primitive calls) in 1.528 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      255    0.000    0.000    0.000    0.000 <frozen os>:734(__iter__)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
      534    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      379    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      100    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.127    0.127 __init__.py:209(__init__)
       12    0.000    0.000    0.000    0.000 message.py:529(get_all)
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
      196    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       16    0.000    0.000    0.000    0.000 message.py:494(get)
      195    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       12    0.000    0.000    0.000    0.000 enum.py:1455(_missing_)
      258    0.000    0.000    0.000    0.000 <frozen os>:797(decode)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x1032660c0}
       13    0.000    0.000    0.000    0.000 <frozen _collections_abc>:979(update)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
      160    0.000    0.000    0.000    0.000 enum.py:199(__get__)
    78/44    0.000    0.000    0.101    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      324    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       57    0.000    0.000    0.000    0.000 typing.py:3790(__getattr__)
      3/2    0.000    0.000    1.014    0.507 sessions.py:159(resolve_redirects)
       53    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
        3    0.000    0.000    0.008    0.003 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:1361(_real_close)
        2    0.000    0.000    0.000    0.000 {method 'poll' of 'select.poll' objects}
      528    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      221    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        2    0.000    0.000    0.944    0.472 connection.py:485(getresponse)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
        2    0.000    0.000    1.035    0.517 connectionpool.py:592(urlopen)
       40    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      248    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      134    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      541    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      341    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
      135    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      250    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      183    0.000    0.000    0.004    0.000 _parser.py:97(closegroup)
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      249    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      251    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
        2    0.000    0.000    0.043    0.021 client.py:213(_read_headers)
      268    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      280    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:1(<module>)
        2    0.000    0.000    1.036    0.518 adapters.py:613(send)
       41    0.000    0.000    0.144    0.004 response.py:1044(stream)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
      218    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.037    0.037 css_parser.py:1(<module>)
      352    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
       33    0.000    0.000    0.000    0.000 enum.py:1055(_add_member_)
    42/30    0.000    0.000    0.006    0.000 css_parser.py:569(parse_pseudo_class)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
  134/132    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      221    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
  136/131    0.000    0.000    0.000    0.000 css_parser.py:375(_freeze_relations)
      182    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
       90    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.001    0.001 cookies.py:1(<module>)
    29/16    0.000    0.000    0.123    0.008 {built-in method builtins.__import__}
        2    0.000    0.000    0.000    0.000 _collections.py:335(extend)
        4    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
       54    0.000    0.000    0.001    0.000 typing.py:1658(copy_with)
        2    0.000    0.000    0.944    0.472 client.py:324(begin)
       35    0.000    0.000    0.000    0.000 ipaddress.py:2307(__init__)
      264    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        2    0.000    0.000    0.000    0.000 connection.py:369(request)
      345    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
       41    0.000    0.000    0.144    0.004 models.py:816(generate)
       60    0.000    0.000    0.001    0.000 _htmlparser.py:127(handle_startendtag)
        2    0.000    0.000    0.000    0.000 models.py:658(__init__)
        2    0.000    0.000    1.035    0.517 connectionpool.py:377(_make_request)
       40    0.000    0.000    0.000    0.000 _collections.py:300(add)
      371    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
       54    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
        2    0.000    0.000    0.003    0.001 request.py:1(<module>)
       21    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
        2    0.000    0.000    0.014    0.007 connection.py:1(<module>)
       50    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
       63    0.000    0.000    0.001    0.000 typing.py:1023(__init__)
       49    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
