('Total Revenue', '395,760,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         784229 function calls (759850 primitive calls) in 6.515 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      280    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
       23    0.000    0.000    0.005    0.000 enum.py:498(__new__)
      379    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      676    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
        2    0.000    0.000    0.839    0.419 client.py:291(_read_status)
      196    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
     1362    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       27    0.000    0.000    0.004    0.000 enum.py:251(__set_name__)
     1362    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      183    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
       48    0.000    0.000    0.001    0.000 typing.py:1634(__getitem__)
       50    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       40    0.000    0.000    0.000    0.000 _collections.py:300(add)
       65    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
      316    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      130    0.000    0.000    0.001    0.000 _htmlparser.py:285(handle_comment)
       49    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
        2    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
      614    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
      430    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       63    0.000    0.000    0.000    0.000 enum.py:353(__setitem__)
      307    0.000    0.000    0.000    0.000 socket.py:744(readable)
      217    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
        2    0.000    0.000    1.006    0.503 connectionpool.py:592(urlopen)
       48    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
        2    0.000    0.000    1.008    0.504 adapters.py:613(send)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       13    0.000    0.000    0.000    0.000 threading.py:122(RLock)
      310    0.000    0.000    0.078    0.000 __init__.py:287(compile)
        2    0.000    0.000    0.005    0.002 client.py:231(_parse_header_lines)
  134/132    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       38    0.000    0.000    0.114    0.003 response.py:1151(_handle_chunk)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1261(__init__)
      258    0.000    0.000    0.000    0.000 <frozen os>:797(decode)
